runid,metric
0000,65.62355160713196
0003,69.86757516860962
0007,53.47774028778076
0009,63.01904320716858
0010,59.29819345474243
0015,59.85949635505676
0019,74.0463376045227
0021,73.07150959968567
0024,66.13364219665527
0025,68.54402422904968
0026,70.99365592002869
0028,77.9065191745758
0030,63.30307126045227
0031,73.66070747375488
0033,64.94844555854797
0035,67.70492196083069
0037,56.32857084274292
0046,60.36434769630432
0047,62.87630796432495
0048,63.58796954154968
0050,74.75367784500122
0051,66.82833433151245
0056,68.82226467132568
0057,54.136723279953
0064,70.89317440986633
0066,53.657299280166626
0071,72.08889126777649
0080,55.21826148033142
0081,56.24798536300659
0084,71.43615484237671
0091,61.23839616775513
0095,65.73296785354614
0097,72.22544550895691
0098,67.80421137809753
0102,65.87160229682922
0103,63.01913857460022
0106,73.50208759307861
0108,60.81732511520386
0110,73.37450385093689
0111,73.84086847305298
0114,75.66126585006714
0116,59.534573554992676
0119,66.79111123085022
0120,68.67737770080566
0124,56.044697761535645
0125,56.2977135181427
0126,70.97795605659485
0127,58.33020806312561
0143,76.98795199394226
0150,62.36613392829895
0153,61.67110204696655
0154,56.07425570487976
0158,70.73791027069092
0160,60.71605682373047
0165,70.19823789596558
0166,60.97304821014404
0168,75.66364407539368
0169,76.75501704216003
0173,66.0078227519989
0177,70.9147036075592
0187,60.49512028694153
0190,63.69063854217529
0191,69.85143423080444
0195,64.19015526771545
0199,73.4215497970581
0200,52.888232469558716
0205,60.679811239242554
0206,69.13599371910095
0208,62.80485987663269
0209,72.98399209976196
0210,75.17209053039551
0211,70.46650648117065
0213,73.28242063522339
0216,57.06667900085449
0217,66.40022397041321
0220,68.1492030620575
0226,57.340651750564575
0227,62.00248599052429
0228,62.03528046607971
0231,77.28191018104553
0234,65.29936194419861
0236,77.39301919937134
0241,71.5749979019165
0243,59.7528338432312
0244,71.97895050048828
0248,64.75453972816467
0252,73.0644941329956
0254,76.21979117393494
0256,65.68343043327332
0258,64.68312740325928
0259,72.87170886993408
0263,55.06506562232971
0264,70.23193836212158
0266,64.00609016418457
0269,68.56224536895752
0270,66.43810868263245
0273,57.61329531669617
0277,74.70844388008118
0278,60.95778942108154
0280,75.8384644985199
0286,73.28036427497864
0288,64.65768814086914
0289,58.46724510192871
0301,58.835893869400024
0302,57.72472620010376
0302,57.72472620010376
0303,56.98246359825134
0304,59.766221046447754
0305,59.20039415359497
0306,59.37628746032715
0308,59.93664264678955
0309,60.81508994102478
0310,60.11224985122681
0311,61.32389307022095
0312,57.33822584152222
0314,53.893160820007324
0315,55.88436722755432
0316,59.78441834449768
0317,58.895158767700195
0318,58.214300870895386
0319,57.46234059333801
0321,57.64918327331543
0322,59.17644500732422
0323,60.33775806427002
0324,55.59198260307312
0325,59.159404039382935
0326,57.91394114494324
0327,61.59553527832031
0328,55.93951344490051
0329,60.48628091812134
0330,59.11257863044739
0331,57.292890548706055
0332,63.17566633224487
0333,59.97788906097412
0334,59.26830768585205
0336,57.1946918964386
0337,58.754777908325195
0338,61.431026458740234
0340,55.25147318840027
0341,60.75170636177063
0342,55.577683448791504
0343,61.22232675552368
0344,56.02038502693176
0345,57.21903443336487
0346,61.67023777961731
0347,57.167237997055054
0348,62.56706118583679
0349,57.547467947006226
0350,57.62631297111511
0351,59.44698452949524
0352,58.71145725250244
