runid,metric
0000,-0.6886817216873169
0003,0.9531552791595459
0007,0.8351902961730957
0009,0.8395445942878723
0010,-0.42757996916770935
0015,0.0845663920044899
0019,0.8268890380859375
0021,1.3779966831207275
0024,0.2193605601787567
0025,-0.04181256890296936
0026,0.493280291557312
0028,1.4598557949066162
0030,-0.13351479172706604
0031,1.731616735458374
0033,0.4772856831550598
0035,0.5774325728416443
0037,-0.3094785511493683
0046,0.10999642312526703
0047,0.6148653030395508
0048,0.23092909157276154
0050,1.0169330835342407
0051,0.18567298352718353
0056,0.28158122301101685
0057,-0.33793050050735474
0064,1.1731362342834473
0066,0.12269633263349533
0071,-0.08517013490200043
0080,-0.4498734474182129
0081,0.7299416065216064
0084,1.1991379261016846
0091,0.7100943326950073
0095,-0.15274308621883392
0097,1.1696622371673584
0098,-0.031461820006370544
0102,0.97542804479599
0103,-0.5035915374755859
0106,1.25359046459198
0108,0.7644529342651367
0110,1.0743119716644287
0111,0.37798091769218445
0114,0.22923147678375244
0116,0.8962027430534363
0119,0.9987329244613647
0120,0.7642598152160645
0124,0.07698856294155121
0125,-0.16484922170639038
0126,1.0344980955123901
0127,-0.2655743956565857
0143,1.762516975402832
0150,0.6423147320747375
0153,-0.007322507444769144
0154,0.6295254230499268
0158,0.46349361538887024
0160,-0.24408680200576782
0165,1.071406602859497
0166,0.272413432598114
0168,1.4195681810379028
0169,1.02632737159729
0173,0.38954615592956543
0177,1.6991357803344727
0187,-0.08495718240737915
0190,0.105531707406044
0191,0.5231437087059021
0195,1.143322467803955
0199,0.5941281318664551
0200,0.9492528438568115
0205,0.14857804775238037
0206,1.1299127340316772
0208,-0.8317476511001587
0209,0.3302408456802368
0210,0.7392891645431519
0211,1.1288261413574219
0213,1.5195817947387695
0216,0.8419667482376099
0217,-0.0723535344004631
0220,-0.007855315692722797
0226,0.8858979344367981
0227,-0.05098230019211769
0228,0.16255204379558563
0231,1.40425705909729
0234,-0.314510315656662
0236,1.2552727460861206
0241,0.7594516277313232
0243,-0.6385072469711304
0244,0.21549025177955627
0248,-0.35805755853652954
0252,0.3740355372428894
0254,1.0761525630950928
0256,-0.2894088923931122
0258,0.8664907217025757
0259,0.589800238609314
0263,0.6135456562042236
0264,1.3453829288482666
0266,-0.10795072466135025
0269,0.5643081665039062
0270,0.2946106195449829
0273,0.1842813342809677
0277,0.33184558153152466
0278,0.3201766908168793
0280,0.46856147050857544
0286,0.9565015435218811
0288,0.5008183717727661
0289,-0.6580554246902466
0301,0.0006350427865982056
0302,0.23711001873016357
0302,0.23711001873016357
0303,0.12385249137878418
0304,-0.025722261518239975
0305,0.5646002292633057
0306,0.28495246171951294
0308,0.21584928035736084
0309,0.35181087255477905
0310,0.4937974512577057
0311,0.181513711810112
0312,0.5019201040267944
0314,0.5350056886672974
0315,0.651635468006134
0316,0.5395780801773071
0317,0.014169208705425262
0318,0.15397758781909943
0319,0.36743757128715515
0321,0.061828747391700745
0322,-0.19512267410755157
0323,0.16778303682804108
0324,0.5784159302711487
0325,0.46821340918540955
0326,0.38926178216934204
0327,0.15667122602462769
0328,0.41835930943489075
0329,-0.06906737387180328
0330,0.27355581521987915
0331,0.2364683449268341
0332,0.14588794112205505
0333,0.5391345024108887
0334,0.719358503818512
0336,0.30796578526496887
0337,0.5868457555770874
0338,0.17741338908672333
0340,0.9782737493515015
0341,0.1685895025730133
0342,0.7840882539749146
0343,0.17944438755512238
0344,0.6061755418777466
0345,0.0763176903128624
0346,0.17187121510505676
0347,0.6032814979553223
0348,-0.21785302460193634
0349,0.41421300172805786
0350,0.6501063108444214
0351,0.531919538974762
0352,-0.5659399032592773
